PI,AA,AB,AG,LA,LB,LC,NR,GY,IP,AL,AR,SU,BA,AC,AH,TRI,TRII,DG,KD,CC,CP,CA,PP,PA,AA,NC,NA,HB
3LGD,113.38,94.18,92.16,63.212,73.099,80.662,508,-0.246,8.56,33.46,10.24,5.51,18.31,17.32,11.02,47.44,52.56,-18.3,3.90E-14,25,20,26,9,46,36,32.84,36.15,973
3LII,90,90,120,210.9,210.9,115.27,540,-0.101,5.98,40.93,10.93,2.41,10.37,16.67,10,46.3,53.7,-8.2,9.90E-07,6,4,10,3,14,31,27.05,43.77,874
3LIT,90,90,120,78.282,78.282,163.321,116,0.121,8.78,40.52,4.31,2.59,10.34,16.38,16.38,43.97,56.03,-14.8,1.40E-11,11,4,25,1,30,117,17.98,47.19,180
3LJ2,90,90,120,126.18,126.18,175.16,434,-0.317,7.88,32.49,9.45,4.15,15.67,20.97,12.9,47.24,52.76,-7.8,1.80E-06,2,2,8,0,9,14,32.84,35.29,658
3LJD,90,90,90,41.339,48.971,109.913,126,-0.724,9.32,29.37,7.14,7.14,18.25,22.22,9.52,48.41,51.59,-6.8,1.00E-05,2,8,8,5,4,14,28.71,32.67,207
3LL4,90,90,90,83.62,84.022,101.568,292,-0.609,6.39,33.56,8.56,3.08,16.1,22.6,11.3,49.66,50.34,-10.2,3.20E-08,4,1,16,9,23,90,35.8,33.24,571
3LLM,90,90,120,113.7,113.7,141.65,235,0.006,4.46,37.02,7.66,4.68,10.21,22.98,11.49,54.47,45.53,-7.4,3.90E-06,12,2,9,0,4,13,30.18,39.35,412
3LMN,90,90,90,138.174,138.174,132.114,135,-0.514,4.77,34.81,11.85,3.7,13.33,22.96,10.37,48.89,51.11,-6.9,8.40E-06,1,5,6,1,9,4,32,38.22,192
3LMY,90,90,120,113.898,113.898,397.427,556,-0.174,6.75,35.07,11.87,3.24,12.41,18.17,12.95,46.76,53.24,-8.1,1.20E-06,5,18,14,2,6,10,28,36.64,967
3LN2,90,90,90,42.421,63.795,111.077,130,-0.468,8.57,36.15,10,7.69,14.62,21.54,8.46,49.23,50.77,-8,1.40E-06,7,6,11,3,5,5,29,33.5,257
3LSC,90,104.45,90,57.378,101.621,80.767,456,-0.01,4.74,44.96,6.8,3.73,12.28,18.2,8.55,47.81,52.19,-19.2,8.90E-15,34,16,87,5,24,92,36.27,43.69,942
3LT3,101.68,97.56,105.05,42.603,44.207,53.356,217,0.273,4.27,49.77,5.07,1.38,6.91,16.13,10.6,40.09,59.91,-2.9,7.30E-03,0,0,0,2,4,14,21.55,56.57,284
3LU2,90,90,120,179.088,179.088,46.412,311,-0.247,5.75,39.55,7.72,3.54,16.72,23.47,6.75,44.37,55.63,-8.8,3.50E-07,18,11,24,0,4,9,38.22,36.78,609
3LUN,90,90,90,58.51,116.29,164.76,262,-0.318,4.17,32.82,9.92,4.58,8.78,24.43,13.74,41.22,58.78,-12.8,4.20E-10,10,10,30,5,20,14,25.35,38.31,502
3LUZ,90,98.78,90,48.54,81.28,58.76,267,-0.186,7.63,41.95,7.87,4.12,14.61,20.22,7.87,46.44,53.56,-10,4.50E-08,11,6,33,3,12,30,37.79,38.44,431
3LV4,90,97.47,90,210.585,60.327,73.122,456,-0.623,6.9,33.77,11.84,2.63,16.01,19.96,11.4,39.69,60.31,-5,2.30E-04,2,4,2,0,0,0,32.85,36.54,782
3LXC,90,90,90,89.947,139.492,182.58,404,-0.348,6.04,33.91,11.39,6.68,12.13,21.78,9.41,47.77,52.23,-13.2,1.90E-10,13,8,22,6,24,28,28.37,34.69,774
3LZU,90,90,120,61.878,61.878,82.15,99,0.208,9.8,47.47,5.05,4.04,12.12,16.16,9.09,49.49,50.51,-13,3.00E-10,7,2,12,11,46,80,26.32,50.66,157
3M1U,90,94.06,90,59.337,54.465,122.982,434,-0.164,8.86,42.17,8.76,3.69,11.98,14.98,10.83,42.86,57.14,-16.3,1.00E-12,25,20,49,0,26,43,24.53,50.16,753
3M3C,90,90,90,60.59,62.42,96.07,159,0.088,4.28,41.51,9.43,1.26,5.66,22.64,16.98,41.51,58.49,-10.2,3.20E-08,2,6,12,6,21,32,17.27,44.55,288
3M3V,90,104.17,90,50.228,96.523,67.692,308,-0.045,6.69,36.36,9.74,7.14,10.06,19.16,13.31,44.16,55.84,-14.7,1.70E-11,7,10,22,9,37,46,21.93,41.27,511
3M65,90,90,90,43.877,81.759,115.133,209,-0.354,4.69,36.36,4.78,3.83,16.27,25.84,9.57,51.2,48.8,-21.5,1.70E-16,30,10,77,4,36,92,38.61,37.66,349
3MC1,90,97.1,90,63.938,53.524,64.182,226,-0.257,5.13,35.4,12.83,2.21,14.16,20.8,12.83,42.04,57.96,-4.9,2.40E-04,3,5,4,3,0,0,33.65,34.59,376
3MCW,90,102.97,90,92.697,60.85,71.96,198,-0.157,5.92,42.42,6.06,4.55,11.62,18.69,10.1,42.93,57.07,-8.9,3.00E-07,14,16,19,12,18,12,25.34,45.55,419
3MF0,90,90,120,144.534,144.534,135.008,432,-0.358,5.07,32.64,7.41,4.86,13.66,25.46,12.5,46.53,53.47,-13.9,6.90E-11,10,27,29,25,44,50,33.7,34.06,618
3MGM,90,90,90,44.412,79.153,97.422,200,-0.123,7.14,46,7,3,16.5,15.5,8,49,51,-9.4,1.30E-07,6,12,39,5,14,60,33.2,46.31,278
3MII,90,90,90,96.42,96.42,132.23,245,-0.222,7.9,38.78,11.02,1.63,15.92,16.33,12.65,35.1,64.9,-10.2,3.10E-08,4,0,14,0,18,12,33.33,37.25,431
3MIL,90,114.44,90,71.565,44.644,81.842,240,-0.36,5.19,35,12.08,3.33,13.75,23.33,8.33,46.67,53.33,-16.4,9.10E-13,29,11,56,7,20,54,36.01,32.48,482
3MJM,90,90,90,51.115,79.063,180.436,347,-0.115,6.04,37.75,7.78,4.61,12.97,19.31,11.53,46.69,53.31,-10.2,3.10E-08,12,21,14,0,16,49,29.08,42.06,644
3MOZ,90,102.97,90,46,137.21,79.99,314,-0.667,8.95,33.44,11.78,1.91,18.15,19.75,9.55,44.9,55.1,-6.8,1.10E-05,9,4,14,2,4,22,33.11,39.41,643
3MPG,90,100.21,90,50.36,80.784,104.772,428,-0.2,5.44,40.42,5.14,4.91,14.49,21.03,9.58,43.46,56.54,-7.2,5.00E-06,11,2,16,2,6,29,35.21,39.93,782
3MVG,90,97.67,90,49.879,84.809,69.08,275,-0.199,10.09,37.45,8.36,0.36,11.64,21.45,16,50.18,49.82,-11.1,7.30E-09,21,29,11,20,23,4,24.33,31.45,610
3MWK,90,90,90,91.916,91.916,108.006,207,0.017,7.68,46.38,4.83,1.93,13.04,15.94,10.63,48.31,51.69,-6,3.80E-05,1,2,11,0,8,51,32.85,44.89,393
3MWS,90,90,90,45.94,53.372,66.086,99,0.026,9.84,46.46,6.06,1.01,12.12,20.2,9.09,50.51,49.49,-13.8,7.10E-11,5,6,13,11,48,79,30.14,45.21,211
3MXJ,90,90,90,64.16,85.72,100.27,242,-0.226,7.14,35.95,5.79,4.13,11.57,16.53,16.94,44.63,55.37,-14.8,1.40E-11,22,25,49,7,18,25,25.44,39.22,431
3MXO,90,90,90,70.602,70.946,81.476,202,-0.404,8.81,35.64,7.43,2.97,18.32,17.33,12.38,48.02,51.98,-10.5,1.90E-08,3,14,34,5,14,33,35.61,34.09,400
3MZ2,90,111.95,90,53.577,90.481,60.373,292,-0.446,4.55,31.51,9.25,4.11,12.67,22.6,14.38,46.92,53.08,-6.3,2.20E-05,13,11,3,1,1,1,34.23,34.47,602
3N01,90,90,90,31.493,66.681,72.999,89,0.038,5.54,46.07,4.49,1.12,10.11,22.47,13.48,52.81,47.19,-9.5,1.00E-07,2,4,3,6,22,13,19.23,43.08,186
3N3W,90,90,90,62.099,98.252,118.41,248,-0.279,7.15,40.32,7.66,2.02,17.34,22.58,8.47,42.34,57.66,-9,2.40E-07,11,0,32,0,3,29,38.86,34.6,287
3N3Z,90,90,90,104.09,104.09,270.21,326,-0.233,5.03,28.83,10.74,9.2,13.5,23.01,8.9,52.76,47.24,-9.1,2.20E-07,6,6,26,0,6,17,32.97,36.66,690
3N5F,90,90,90,103.208,211.683,43.091,408,-0.087,5.11,44.36,5.64,4.17,12.5,18.87,9.31,50.25,49.75,-16.8,4.70E-13,19,13,39,2,35,83,31.44,42.99,755
3N77,90,113.87,90,44.498,66.268,50.836,144,-0.142,4.44,40.28,9.03,5.56,11.11,23.61,6.94,56.25,43.75,-6.7,1.20E-05,24,4,4,0,2,0,30.9,43.35,229
3NCV,90,104.6,90,49.5,62.1,92.1,220,-0.224,7.04,40.45,3.18,5,15,19.09,13.64,46.36,53.64,-8.8,3.40E-07,4,1,13,2,14,57,27.08,42.01,331
3NGX,90,97.77,90,66.415,52.92,86.034,276,-0.15,6.31,41.3,6.52,3.26,13.41,21.38,8.7,48.91,51.09,-12.2,1.10E-09,11,21,23,8,29,34,34.82,39,532
3NM5,90,90,120,81.723,81.723,134.535,230,0.197,5.57,42.17,7.83,3.91,13.04,18.7,12.17,43.48,56.52,-12,1.50E-09,20,12,38,7,20,44,32.06,44.6,438
3NME,90,90,90,59.408,73.943,162.382,294,-0.365,6.87,35.37,9.52,4.08,15.65,19.73,11.56,47.96,52.04,-8.9,3.00E-07,12,18,19,2,10,17,36.53,36.99,484
3NPF,90,90,90,60.136,62.495,156.809,306,-0.458,7.32,33.33,11.44,3.92,14.05,19.93,12.42,45.42,54.58,-14.6,1.80E-11,6,2,32,2,26,34,28.89,35.21,590
3NQW,90,101.4,90,50,71.4,49.9,179,-0.522,6.28,34.08,6.7,3.91,16.76,26.26,9.5,50.84,49.16,-12.3,1.00E-09,5,15,13,14,36,43,42.64,26.74,335
3NR1,90,95.3,90,53.9,62.4,53.9,178,-0.61,6.73,38.2,5.06,0.56,18.54,24.72,8.99,50.56,49.44,-12,1.50E-09,14,16,23,3,18,30,38.24,30.88,366
3NR2,90,90,120,127.983,127.983,167.912,294,-0.381,7.26,31.97,10.2,5.78,18.03,19.73,10.88,44.22,55.78,-11.1,6.80E-09,10,7,24,12,24,48,35.4,34.02,401
3NTL,90,90,120,151.079,151.079,86.644,398,-0.527,6.65,32.66,8.54,4.27,13.32,23.37,12.31,44.97,55.03,-12.7,4.90E-10,6,6,7,3,28,28,30.67,32.38,708
3NTX,90,117.63,90,125.377,109.089,58.224,341,-0.065,6.17,40.18,7.04,3.23,9.38,21.11,13.78,45.16,54.84,-6.3,2.40E-05,3,7,2,3,5,5,19.96,42.36,680
3NWX,90,90,90,51.825,56.796,62.174,99,0.172,9.29,49.49,5.05,1.01,11.11,17.17,8.08,48.48,50.51,-11.7,2.60E-09,7,3,12,11,39,46,25,50,150
3NYD,90,90,90,75.766,78.054,98.203,316,-0.174,6.6,40.82,8.54,2.85,10.13,21.2,12.03,41.14,58.86,-9.4,1.20E-07,4,16,13,16,23,19,20.05,40.1,934
3NYG,90,90,90,51.303,57.682,61.745,99,0.222,9.29,49.49,5.05,1.01,11.11,17.17,8.08,49.49,49.49,-12.2,1.20E-09,7,2,12,11,41,56,24.49,50.34,149
3O0M,90,100.51,90,59.15,63.52,76.5,149,-0.209,6.79,41.61,4.7,4.03,15.44,18.79,10.07,41.61,58.39,-4.2,8.00E-04,4,1,4,0,1,1,30.32,45.7,248
3O1L,90,90,90,131.271,131.271,102.991,302,-0.285,6.7,34.77,8.61,4.97,19.21,19.54,8.94,48.34,51.66,-8.4,6.60E-07,2,5,11,4,14,17,30.53,37.39,508
3O47,90,90,90,79.298,129.161,157.685,329,-0.509,7.33,33.74,9.73,4.56,16.11,22.8,10.03,49.85,50.15,-4.5,4.70E-04,3,4,1,4,1,2,35.48,33.87,481
3O4V,90,90,90,51.6,69.09,128.31,234,0.312,4.9,49.57,5.56,3.85,10.26,18.8,9.4,44.44,55.56,-12.4,7.80E-10,13,0,38,1,18,49,26.48,47.04,481
3O5V,90,90,120,79.439,79.439,88.823,132,0.009,6.08,37.12,14.39,1.52,10.61,21.21,9.09,43.18,56.82,-8.5,6.00E-07,1,4,8,5,16,24,22.87,42.02,197
3O69,90,90,90,60.379,69.26,98.554,191,-0.307,4.65,38.22,7.85,3.14,13.09,25.13,10.99,52.36,47.64,-16.6,7.20E-13,21,17,50,22,42,78,36.78,34.87,345
3OCA,90,90,90,84.26,64.43,80.91,209,-0.33,6.17,36.36,7.18,5.26,16.75,23.44,7.66,52.63,47.37,-6.9,9.40E-06,5,11,9,0,6,6,34.75,37.59,313
3ODU,90,102.17,90,64.54,83.692,119.995,502,0.129,8.28,40.24,12.35,3.59,12.55,17.13,11.16,48.01,51.99,-6.6,1.40E-05,3,18,8,4,11,32,21.7,48.87,902
3OE9,64.66,73.93,61.31,72.497,72.739,84.273,499,0.138,8.13,40.28,12.42,3.61,12.42,17.23,10.82,48.3,51.7,-5.7,6.70E-05,1,7,8,1,6,32,21.25,50.22,699
3OEA,62.5,85.11,86.22,32.393,48.375,48.985,146,-0.32,4.39,37.67,11.64,2.05,8.9,23.29,11.64,37.67,62.33,-11.9,1.70E-09,1,4,10,3,24,21,22.54,36.62,245
3OGQ,90,90,120,81.79,81.79,33.94,116,-0.201,9.16,37.93,7.76,5.17,13.79,24.14,9.48,50.86,49.14,-17,3.50E-13,10,9,25,3,42,63,31.14,37.72,188
3OHE,90,90,90,36.024,80.485,99.445,137,-0.291,5.55,37.96,7.3,5.11,11.68,23.36,6.57,54.74,45.26,-11.6,3.20E-09,8,6,13,5,27,30,22.27,45.45,335
3OHF,90,90,90,88.982,130.233,86.596,455,-0.21,5.17,37.36,10.11,3.74,10.55,18.9,13.63,46.37,53.63,-7.9,1.60E-06,4,8,16,8,11,8,26.24,39.16,639
3OM8,90,90,90,91.529,91.529,283.745,266,0.199,6.31,49.62,7.14,1.5,10.9,15.04,10.9,44.74,55.26,-5.6,7.50E-05,1,9,13,2,8,16,23.53,52.94,489
3ON6,90,92.35,90,51.613,91.138,99.124,461,-0.446,6.43,31.24,11.93,4.34,13.23,23.21,11.5,41.21,58.79,-15.8,2.70E-12,13,16,19,9,41,25,32.57,33.98,939
3OOO,90,90,90,43.744,58.325,101.995,132,-0.134,6.34,31.06,13.64,3.03,12.12,21.97,11.36,44.7,55.3,-6.4,2.00E-05,3,3,4,4,5,5,23.58,39.15,246
3OQP,90,98.94,90,37.369,103.135,45.062,211,-0.02,6.39,44.08,7.11,1.9,10.9,17.06,14.22,40.76,59.24,-14.2,4.10E-11,14,29,37,19,40,49,23.49,47.69,511
3P1V,90,99.56,90,72.919,84.963,139.758,407,-0.463,6.39,30.22,12.78,3.69,13.51,19.9,13.76,44.72,55.28,-13.1,2.50E-10,20,11,29,3,15,40,27.99,35.29,732
3P2C,90,105.61,90,64.722,89.854,90.387,463,-0.413,7.13,32.61,11.02,4.75,14.69,21.81,10.37,42.12,57.88,-14.2,4.00E-11,14,20,20,5,32,32,33.1,36.38,932
3P2N,90,90,90,72.99,96.803,126.836,408,-0.643,6.79,31.86,11.76,2.7,14.71,20.83,11.76,41.67,58.33,-24.3,1.60E-18,16,19,49,17,73,57,34.56,34.97,667
3P2O,90,119.84,90,134.927,44.981,117.021,285,0.17,6.25,44.91,3.51,4.91,12.28,19.3,11.58,47.02,52.98,-12.7,4.70E-10,9,14,40,9,25,38,28.99,42.75,516
3P2P,90,107.4,90,45.8,73.4,37.2,119,-0.601,6.68,22.69,11.76,13.45,12.61,21.85,13.45,41.18,58.82,-8.3,8.20E-07,4,11,4,11,9,1,23.16,27.37,205
3P2Q,90,100.99,90,48.48,90.9,62.11,143,-0.192,6.89,38.46,7.69,4.9,15.38,13.29,13.29,42.66,57.34,-13.9,6.10E-11,12,7,46,4,24,87,27.84,45.88,232
3P8K,90,90,90,58.58,61.98,155.16,281,-0.365,6.14,34.52,9.96,2.85,13.17,24.91,11.03,46.26,53.74,-17.1,2.80E-13,21,21,55,3,20,37,27.41,34.64,520
3PF8,90,90,120,149.899,149.899,130.309,270,-0.318,5.83,36.67,8.89,2.59,12.59,23.33,12.22,41.11,58.89,-10.8,1.20E-08,16,15,18,3,11,18,27.47,35.19,419
3PFI,90,90,120,111.482,111.482,355.089,338,-0.177,4.91,40.24,7.1,2.66,13.31,21.6,11.83,46.45,53.55,-9.8,6.40E-08,19,7,28,3,9,15,33.41,40.53,507
3PFO,90,111.02,90,87.074,48.823,111.879,433,-0.19,4.77,40.42,8.08,3.93,11.09,19.4,12.01,43.65,56.35,-16.4,9.80E-13,12,15,51,8,35,79,29.5,43.4,855
3PIG,90,90,120,87.117,87.117,223.942,526,-0.531,4.86,33.65,10.65,4.94,13.31,21.48,10.84,42.78,57.22,-15.4,5.30E-12,30,25,32,1,22,17,33.38,36.38,1025
3PN3,90,90,90,55.6,55.61,149.53,193,-0.41,5.2,36.27,8.29,3.11,16.06,23.32,6.74,49.74,50.26,-5.1,1.70E-04,10,0,18,0,0,11,37.55,44.77,336
3PN6,90,90,90,66.28,66.28,194.29,193,-0.398,5.2,35.75,8.29,3.63,16.06,23.32,6.74,50.26,49.74,-5.2,1.50E-04,10,0,17,0,0,11,37.82,43.64,329
3PNU,90,90,90,69.52,80.802,154.878,359,-0.248,6.3,32.59,9.75,6.41,15.6,21.45,9.19,44.85,55.15,-9.8,6.00E-08,8,2,31,0,6,51,37.5,32.87,603
3PR0,90,90,90,102.24,105.47,149.15,573,-0.129,8.51,37.35,8.03,5.58,12.04,16.58,13.44,46.95,53.05,-11.5,3.80E-09,8,10,23,10,26,43,26.24,41.92,1177
3PUH,90,90,90,73.345,105.442,224.518,587,-0.078,4.49,41.4,8.69,2.56,10.05,18.57,12.95,42.59,57.41,-9.1,2.10E-07,4,8,5,4,24,26,24.97,47.71,908
3PV1,90,90,90,96.66,122.98,105.05,225,-0.654,4.8,32,10.22,3.56,13.78,25.78,11.11,48,52,-12.4,7.70E-10,13,8,47,2,8,46,33.79,33.24,358
3Q03,90,100.45,90,76.68,67.16,91.16,379,-0.131,7.53,34.56,9.76,4.22,13.19,19,13.72,44.85,55.15,-9.8,6.30E-08,10,17,22,2,8,9,30.23,34.88,639
3Q1P,90,90,90,60.471,71.426,111.217,205,-0.461,4.65,31.71,11.71,2.93,14.15,24.39,11.71,47.8,52.2,-21.4,2.10E-16,16,29,65,2,40,100,35.81,33.87,338
3Q3Y,90,90.81,90,39.04,64.45,68.74,191,-0.31,8.47,38.22,8.9,4.71,16.23,19.37,8.38,43.98,56.02,-8.1,1.10E-06,4,4,13,0,10,36,33.05,38.56,403
3Q9L,90,90,90,83.664,86.595,110.714,260,-0.101,4.78,43.46,4.62,3.08,13.46,21.54,10.77,49.23,50.77,-9.5,1.10E-07,22,24,34,6,10,22,41.42,39.05,498
3QFO,90,90,90,57.654,74.94,149.13,270,-0.401,6.16,37.78,8.15,2.96,17.04,23.33,7.04,54.07,45.93,-15.5,4.50E-12,27,11,49,4,20,30,36.89,35.28,522
3QI3,90,90,90,103.127,103.127,270.441,533,-0.348,5.68,29.64,8.44,7.69,15.01,22.33,11.82,50.66,49.34,-10.1,4.00E-08,5,12,15,2,18,13,33.84,36.68,712
3QJ8,90,90,90,91.54,104.62,148.32,587,-0.158,7.62,37.65,7.84,5.62,11.75,17.72,12.78,47.02,52.98,-11.6,2.90E-09,7,15,25,9,26,45,26.25,42.66,1047
3QMF,90,90,90,49.983,68.35,143.787,273,-0.3,6.7,34.07,9.89,5.49,14.65,23.81,8.42,46.89,53.11,-10.4,2.50E-08,17,14,20,7,15,17,28.98,38.64,423
3QNC,90,90,90,49.21,97.01,125.87,244,-0.308,8.62,36.07,10.25,2.46,13.52,21.31,13.11,47.54,52.46,-12.9,3.70E-10,22,10,30,2,12,13,34.73,30.54,472
3QRV,90,90,90,72.17,93.39,108.87,336,-0.154,4.74,34.23,13.99,2.38,10.12,21.73,13.39,39.88,60.12,-6.4,2.10E-05,1,2,3,3,5,40,27.95,35.59,504
3QU1,90,90,90,74.296,74.296,127.219,171,-0.18,4.85,40.35,4.09,3.51,12.87,23.98,10.53,50.88,49.12,-10.1,4.00E-08,9,18,42,2,6,14,32.67,39.44,345
3QXG,90,119.77,90,114.065,70.586,76.323,243,-0.28,6.34,37.04,7.41,5.35,15.23,18.52,11.52,44.44,55.56,-8.2,9.10E-07,11,6,16,2,8,4,30.6,40.38,446
3QYJ,90,93.09,90,44.542,88.196,83.588,291,-0.279,6.87,35.74,11,4.12,15.81,18.56,9.28,47.42,52.58,-7.8,1.80E-06,9,9,10,0,3,3,29.44,35.28,608
3R03,90,90,120,107.466,107.466,50.312,144,-0.101,6.51,43.06,6.94,3.47,14.58,13.89,8.33,48.61,51.39,-4.8,3.20E-04,3,4,8,3,8,45,27.64,51.76,173
3R3P,90,90,90,52.292,52.292,133.787,105,-0.579,8.87,34.29,9.52,1.9,19.05,23.81,9.52,48.57,51.43,-9.2,1.70E-07,18,26,12,14,15,3,37.18,27.56,169
3R3W,90,103.22,90,42.03,79.77,85.18,306,-0.251,6.58,39.22,11.11,3.27,14.05,16.34,8.17,42.48,57.52,-9,2.60E-07,2,6,12,1,20,38,29.61,46.09,615
3R41,90,103.41,90,41.69,78.1,85.1,306,-0.252,6.37,39.22,11.11,3.27,13.73,16.67,8.17,42.48,57.52,-8.6,5.10E-07,2,5,12,2,19,38,30.03,45.61,719
3R4Y,90,101.86,90,129.87,76.81,90.11,374,-0.699,5.28,30.48,12.57,2.94,14.97,21.12,12.3,39.04,60.96,-27.1,1.30E-20,32,29,59,16,75,69,34.22,36.89,658
3R5K,90,90,120,89.85,89.85,185.91,312,-0.537,6.32,29.49,8.97,6.09,16.67,23.08,11.86,41.99,58.01,-18.7,2.10E-14,25,17,52,8,33,53,36.16,30.94,429
3R77,90,90,90,68.48,72.1,78.94,209,-0.075,5.86,40.67,9.09,4.31,11.48,18.66,9.09,47.37,52.63,-11.5,3.40E-09,10,12,36,2,14,51,28.63,41.6,441
3RAU,85.87,81.27,87.99,37.523,61.333,80.582,363,-0.266,7.55,37.47,9.37,4.96,14.6,21.49,7.16,48.21,51.79,-8,1.40E-06,9,5,19,0,6,16,31.6,41.2,728
3RD7,90,99.92,90,57.75,62.8,82.22,286,-0.106,4.82,38.46,8.39,3.85,10.14,18.53,13.64,47.2,52.8,-19.8,2.90E-15,25,17,67,8,40,50,26.5,48.36,560
3RF6,90,90,90,59.912,71.652,195.428,355,-0.274,9.25,36.9,10.14,1.69,13.8,20,12.39,41.69,58.31,-13.9,6.00E-11,10,10,40,6,24,56,31.14,37.06,689
3RII,90,96.39,90,45.395,99.034,48.145,233,-0.248,4.62,35.62,9.87,3.86,11.59,24.03,11.16,46.35,53.65,-5.5,9.90E-05,1,3,5,1,3,9,31.46,38.63,370
3RJT,90,90,90,94.415,94.415,135.743,216,-0.028,6.02,42.13,7.41,4.17,13.89,18.52,7.87,50.46,49.54,-7,7.20E-06,6,2,13,2,10,31,29.81,45.83,462
3RK1,90,90,90,58.979,64.072,140.134,237,-0.192,6.8,41.35,9.28,2.95,16.88,18.99,8.86,50.63,49.37,-7.6,2.60E-06,7,8,27,0,2,34,35.24,38.97,367
3RZA,89.67,73.38,72.36,46.996,57.805,79.857,396,-0.09,5.06,42.93,4.04,2.53,12.12,21.97,13.38,43.69,56.31,-13.4,1.50E-10,3,20,23,16,42,40,27.88,41.15,711
3S45,90,91.66,90,105.998,30.986,56.161,99,0.106,5,45.45,7.07,2.02,9.09,20.2,11.11,46.46,53.54,-13.5,1.20E-10,7,3,15,13,45,72,25.17,47.02,156
3S4K,90,92.76,90,41.722,50.642,60.506,144,-0.156,5.61,41.67,5.56,3.47,9.72,19.44,13.19,45.83,54.17,-8.7,4.50E-07,8,6,26,12,16,39,26.09,44.57,255
3S5B,90,104.17,90,69.221,45.379,80.31,249,-0.571,9.03,31.33,10.84,3.21,20.08,18.88,10.44,41.37,58.63,-11,8.20E-09,19,13,39,1,6,23,34.41,37.65,420
3S8I,90,107.62,90,80.981,41.04,88.975,148,-0.099,8.25,38.51,4.73,8.78,15.54,17.57,11.49,50.68,49.32,-12.7,5.10E-10,2,15,24,6,31,26,28.65,41.52,236
3S8K,90,90,90,44.262,81.992,140.891,184,-0.123,9.71,36.41,13.04,2.72,15.22,16.3,9.78,39.67,60.33,-4.3,7.10E-04,0,0,4,0,2,32,28.21,46.07,280
3SB9,90,90,90,79.114,79.114,87.367,165,-0.436,10.08,38.18,8.48,3.03,16.36,20.61,10.91,43.64,56.36,-9.3,1.60E-07,19,16,13,2,9,12,31.37,38.04,343
3SC3,90,90,90,162.44,162.44,162.44,225,-0.051,5.89,42.22,7.56,4.44,13.78,18.67,8.89,49.78,50.22,-9.1,2.00E-07,4,4,25,1,14,13,30.43,45.34,318
3SM2,90,90,90,46.572,65.099,69.161,132,-0.505,9.72,37.88,5.3,2.27,17.42,15.91,12.12,40.15,59.85,-15.7,2.80E-12,6,14,31,6,38,35,22.1,44.2,186
3SON,90,90,90,57.88,57.88,94.49,149,-0.323,4.34,31.54,12.08,4.03,10.74,25.5,12.75,49.66,50.34,-10.5,2.00E-08,6,6,19,4,14,9,30,33.04,277
3SOP,90,90,90,52.244,150.414,157.997,270,-0.565,7.24,31.48,8.52,3.33,18.52,24.81,9.63,50.37,49.63,-7.1,6.60E-06,5,16,15,12,14,13,38.8,33.85,379
3SQL,90,90,90,128.727,128.727,182.987,535,0.084,5.07,43.18,7.48,2.62,8.97,18.69,11.21,46.17,53.83,-19.3,6.90E-15,23,13,63,4,32,74,23.63,44.58,995
3SR3,90,90,90,51.315,97.137,125.582,336,-0.266,6.26,33.93,11.01,3.87,11.61,20.24,13.1,44.35,55.65,-16.6,7.10E-13,14,22,25,13,41,41,28.17,32.49,627
3SSA,90,90,90,73.335,95.803,130.367,460,-0.177,5.69,42.17,6.96,2.83,12.61,19.57,10.43,46.74,53.26,-21,4.00E-16,19,16,78,3,36,46,31.58,41.56,874
3STX,90,97.59,90,48.237,94.387,60.077,267,0.132,8.07,40.07,7.87,4.87,11.61,15.36,13.86,42.32,57.68,-6.3,2.50E-05,2,4,12,3,6,37,24.65,45.15,457
3STY,90,96.63,90,48.292,106.182,59.847,267,0.122,8.08,40.07,7.87,4.87,11.99,15.36,13.48,42.32,57.68,-6.4,2.00E-05,2,2,13,2,5,37,25.57,44.03,493
3SU4,90,90,120,85.762,85.762,97.414,203,-0.235,9.75,39.41,4.93,3.94,12.81,14.29,19.21,42.36,57.64,-6.6,1.40E-05,3,2,2,3,4,5,24.09,36.5,332
3T3C,90,90,90,57.689,57.689,129.692,99,0.285,6.5,47.47,6.06,4.04,9.09,18.18,9.09,50.51,49.49,-13.3,1.80E-10,5,4,12,11,47,80,23.23,51.61,164
3T8L,90,97.04,90,61.543,131.171,69.284,608,0.123,5.74,48.19,4.77,3.95,12.17,16.12,10.03,43.09,56.91,-14.1,4.30E-11,19,22,42,10,32,53,28.32,49.2,943
3T9Q,90,90,120,86.014,86.014,322.471,242,-0.171,5.17,39.26,4.96,4.96,13.22,21.07,13.22,45.45,54.55,-36.7,1.20E-27,50,50,123,15,81,166,35.13,36.71,370
3TAL,90,90,90,64.803,114.654,121.624,471,-0.295,9.26,38.64,7.64,1.91,17.83,18.68,11.46,51.59,48.41,-21,4.00E-16,31,26,56,14,48,83,35.53,35.99,660
3TAV,90,90,120,119.64,119.64,96.19,286,0.092,5.44,47.2,4.55,3.85,11.19,14.69,13.64,39.86,60.14,-4.5,5.10E-04,5,0,16,0,0,10,26.44,52.87,496
3TC9,90,93.61,90,239.67,51.25,75.99,430,-0.677,5.48,30.93,12.09,3.26,13.95,24.19,11.86,41.63,58.37,-8.4,7.00E-07,4,5,5,3,11,5,30.72,32.64,779
